ID,SMILES,MW,logP,numAtoms,numRings,numRotBonds,numHDon,numHAcc
DB14121,CC1CC=CC(=O)O1,112.052,0.878,8,1,0,0,2
DB14126,CC(Cn1cnc2c(N)ncnc21)OCP(=O)(O)O,287.078,-0.051,19,2,5,3,7
DB14132,Cn1c(=O)c2[nH]c(Cl)nc2n(C)c1=O,214.026,-0.386,14,2,0,1,5
DB14135,OCl,51.972,0.133,2,0,0,1,1
DB14141,Nc1ccc(N)cc1,108.069,0.851,8,1,0,2,2
DB14144,Nc1ccc(O)cc1,109.053,0.974,8,1,0,2,2
DB14159,O=P(O)(O)C(O)P(=O)(O)O,191.959,-1.382,10,0,2,5,3
DB14173,O=C1C(N(CO)C(=O)NCO)N(CO)C(=O)N1CO,278.086,-3.612,19,1,5,5,7
DB14177,CCCOC(=O)c1ccc(O)cc1,180.079,1.959,13,1,3,1,3
DB14178,CN(C)C(=S)SC(=S)N(C)C,208.016,1.413,11,0,0,0,3
DB14184,O=C/C=C/c1ccccc1,132.058,1.899,10,1,2,0,1
DB14186,OC/C=C/c1ccccc1,134.073,1.692,10,1,2,1,1
DB14187,CC(CC=O)CCCC(C)(C)O,172.146,2.153,12,0,6,1,2
DB14189,NCCN,60.069,-1.096,4,0,1,2,2
DB14197,Cn1sc(Cl)cc1=O,148.97,1.1,8,1,0,0,3
DB14212,COC(=O)c1ccc(O)cc1,152.047,1.179,11,1,1,1,3
DB14219,COC(=O)/C=C/C(=O)O,130.027,-0.2,9,0,2,1,3
DB14474,OCC(O)C1OCC(O)C1O,164.068,-2.54,11,1,2,4,5
DB14475,CC(O)C(=O)O,90.032,-0.548,6,0,1,2,2
DB14480,CC(=O)NC(CS)C(N)=O,162.046,-1.094,10,0,3,3,3
