Name,Probability
CHEMBL1324,0.8101449275362319
CHEMBL55400,0.8066666666666666
CHEMBL2010412,0.7933333333333333
CHEMBL2374220,0.76
CHEMBL2023898,0.7533333333333333
CHEMBL264241,0.7533333333333333
CHEMBL3833368,0.74
CHEMBL252556,0.74
CHEMBL1640,0.74
CHEMBL1089641,0.74
CHEMBL1173055,0.74
CHEMBL279516,0.7333333333333333
CHEMBL1201038,0.7333333333333333
CHEMBL333826,0.7333333333333333
CHEMBL121663,0.7333333333333333
CHEMBL2303621,0.7266666666666667
CHEMBL3301610,0.7266666666666667
CHEMBL278623,0.7266666666666667
CHEMBL1079,0.7266666666666667
CHEMBL1200329,0.7266666666666667
CHEMBL1200467,0.7172037510656437
CHEMBL1599768,0.7172037510656437
CHEMBL3989845,0.7172037510656437
CHEMBL3989825,0.7172037510656437
CHEMBL3989694,0.7172037510656437
CHEMBL2028019,0.7133333333333334
CHEMBL2024517,0.7133333333333334
CHEMBL114,0.7133333333333334
CHEMBL1279,0.7133333333333334
CHEMBL844,0.7133333333333334
CHEMBL2138684,0.7133333333333334
CHEMBL2062257,0.7133333333333334
CHEMBL499915,0.7133333333333334
CHEMBL3813873,0.7066666666666667
CHEMBL3989973,0.7066666666666667
CHEMBL1677,0.7066666666666667
CHEMBL95,0.7066666666666667
CHEMBL2311030,0.7
CHEMBL1755,0.7
CHEMBL1292,0.7
CHEMBL1201108,0.7
CHEMBL2364968,0.7
CHEMBL1625607,0.7
CHEMBL2105722,0.6933333333333334
CHEMBL3546271,0.6933333333333334
CHEMBL4297588,0.6933333333333334
CHEMBL3545123,0.6933333333333334
CHEMBL4204794,0.6933333333333334
CHEMBL461332,0.6933333333333334
CHEMBL1201087,0.6933333333333334
CHEMBL3545253,0.6933333333333334
CHEMBL1200845,0.6933333333333334
CHEMBL1200712,0.6866666666666666
CHEMBL1201014,0.6866666666666666
CHEMBL1201303,0.6866666666666666
CHEMBL1908377,0.6866666666666666
CHEMBL1201148,0.6866666666666666
CHEMBL1201109,0.6866666666666666
CHEMBL3989922,0.6866666666666666
CHEMBL483254,0.6866666666666666
CHEMBL635,0.6866666666666666
CHEMBL1094636,0.6866666666666666
CHEMBL3545368,0.6866666666666666
CHEMBL1201231,0.6866666666666666
CHEMBL1015,0.6866666666666666
CHEMBL712,0.6859654686398872
CHEMBL1753,0.68
CHEMBL131,0.68
CHEMBL1364144,0.68
CHEMBL650,0.68
CHEMBL1697717,0.68
CHEMBL3622821,0.68
CHEMBL1200588,0.68
CHEMBL1418176,0.68
